name_full,locality,first_elected_year,reelection_year,ideology_score,party_code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,
Timothy J. Furey,mt,2007,2012,-1.026591576,D,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
Lynn Bromley,me,2000,2008,-0.200493612,D,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,,
Ann E. Cummings,vt,1996,2018,0.059516345,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Brady Ralph Paxton,wv,1999,2014,-1.05183231,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,,,,,
Elizabeth S. Brater,mi,2002,2010,-1.743225274,D,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Christopher Carney,us,2006,2010,-0.301507502,D,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Richard L. Anderson,va,2009,2017,0.566328332,R,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Gene Shelby,ar,2006,2010,,D,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Charles Mainor,nj,2009,2015,-0.981487454,D,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,,,,,
Eric D. Coleman,ct,1994,2018,-0.041592982,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Tommie Pierson Sr.,mo,2010,2016,,D,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,,
Caleb Q. Dyer,nh,2016,2018,0.533476704,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Henry Kiki Saavedra,nm,1976,2014,,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,,,,,
Douglas C. Dean,ga,1998,2006,-0.795699537,D,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
Angela Zoe Monson,ok,1993,2006,,D,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
Melanie L. Rapp,va,2000,2007,1.315260205,R,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,,,,,
"Calvin J. Hobson, III",ok,1990,2006,,D,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
Donna Rowland,tn,2000,2010,4.705927854,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Shannon J. Augare,mt,2010,2014,-0.887729428,D,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,,,,,
Anthony A. Strickland,ca,2008,2012,0.992825852,R,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,,,,,
Mark J.F. Schroeder,ny,2004,2012,0.340156266,D,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
Lee Hammond,nh,2002,2008,,D,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,,
Carl Andrews,ny,2002,2006,,D,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
Bruce Bearinger,ia,2012,2018,,D,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,
John W. Cebrowski,nh,2008,2014,0.79965367,R,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,,,,,
Steve Erdman,ne,2016,2020,2.645262645,NP,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Bob Heaton,in,2010,2018,1.03457955,R,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
Marilyn B. Lee,hi,1996,2012,-1.008981848,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
Rush D. Holt,us,1998,2014,-1.596226118,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,,,,,
John Howe,mn,2010,2012,,R,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,,,,,
Bob Beauprez,us,2002,2006,1.096979332,R,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
John R. Bennett,ok,2010,2018,-0.512714598,R,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
LeAnne (Pittman) Burch,ar,2016,2018,-0.863103473,D,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Peter E. Ramsey,nh,2008,2014,-0.85995184,D,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,,,,,
Benjamin C. Baroody,nh,2014,2018,-0.958983742,D,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
Lucille Roybal-Allard,us,1992,2018,-1.46988131,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Karl B. Allen,sc,2012,2020,-1.027500318,D,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,
Stephen P. Samuelson,pa,1998,2018,-1.070929988,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Michael Craig Roberson,nv,2010,2018,0.366021113,R,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
Charles H. Clements,wv,2017,2018,0.881719672,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,
George Sidney Robinson,nc,2015,2016,0.522598291,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,,,,
Terry L. Fields,fl,2000,2008,,D,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,,
Kathleen L. Walcher,oh,2002,2006,,R,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
Dennis John Kucinich,us,1996,2012,-1.05112212,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
Floyd A. Esquibel,wy,2008,2016,-0.781058354,D,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,
Tim Wilkin,mn,1998,2006,,R,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
Scott M. Bennett,il,2015,2020,-0.725535544,D,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,,,,,
Linda S. Bolon,oh,2006,2010,-0.920305921,D,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Marice I. Morales,md,2014,2018,-1.59042611,D,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
Ken A. Roberts,id,2000,2012,-0.623849741,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
Barbara Levy Boxer,us,1992,2016,-0.883751191,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,
Susan M. Ford,nh,2012,2016,-1.705594728,D,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,,,,,
Paul David Bussman,al,2010,2018,0.941145975,R,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
Samuel Satoru Kong,hi,2014,2018,0.428278791,D,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
James W. Wright,ny,1992,2008,,R,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,,
Edward G. Staback,pa,1984,2012,-0.713890407,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
LaRuby May,dc,2015,2016,-2.578522068,D,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,,,,
Michael R. Kainen,vt,1998,2006,,R,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
Dorinda A. Connor,de,1997,2012,0.235511477,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
Kevin Daley,mi,2008,2014,1.124195706,R,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,,,,,
Lawerence E. Denney,id,1996,2014,-0.777020123,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,,,,,
Christopher R. Barstow,me,2002,2008,-0.647263981,D,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,,
Teresa Elaine Forcier,pa,1990,2006,,R,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
Franklin C. Bishop,nh,2012,2014,0.113957592,R,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,
Terrence P. Murphy,ny,2014,2018,1.380994072,R,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
Frances Manning Fredericks,ms,1990,2011,-1.641216664,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,,,,,
Bobby Kaufmann,ia,2012,2018,,R,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,
Shawn A. Vedaa,nd,2016,2020,-0.910476403,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Nancy C. Riley,ok,2000,2008,,D,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,,
Kurt Kelly,fl,2007,2010,,R,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Leland G. Heinrich,id,2006,2010,0.179408908,R,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Jeffrey A. Stone,wi,1998,2014,0.600678017,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,,,,,
Michael More,mt,2008,2012,1.238323623,R,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,,,,,
Paul McEachern,nh,2006,2010,,D,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Donald W. Norcross,nj,2010,2015,-1.32710744,D,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,,,,,
Milo E. Smith,in,2006,2018,0.757686654,R,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Vincent J. Polistina,nj,2007,2011,1.157439366,R,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,,,,,
Dexter Randall,vt,2004,2008,,P,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,,
Cristin McCarthy Vahey,ct,2014,2018,-0.567795022,D,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
Miguel del Valle,il,1986,2006,-1.959702128,D,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
Joseph A. Boncore,ma,2016,2018,,D,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
"Benjamin A. Hagood, Jr.",sc,2002,2008,,R,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,,
Pete Kott,ak,1992,2006,,R,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
Christina M. Perry,id,2010,2018,-0.225840276,R,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
D.J. Johnson,ky,2016,2018,,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Beverly Swoish Hammerstrom,mi,1998,2006,0.044278696,R,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
Jeff Monroe,sd,2012,2018,-0.52171264,R,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,
Mark S. Kinner,wy,2015,2018,-0.006561646,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,,,,,
William L. Crocker Jr.,ma,2016,2018,,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Sarah E. Buxton,vt,2010,2018,-0.435011604,D,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
Thomas Robert Kerr,ky,1984,2016,,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,
James L. Word,ar,2008,2014,-1.656259768,D,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,,,,,
Kimberly Daniels,fl,2016,2018,-0.456543071,D,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
William A. Callegari Sr.,tx,2000,2014,0.105894079,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,,,,,
Joseph F. Verrengia,ct,2011,2018,-0.708830523,D,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,,,,,
Phillip Chen,ca,2016,2018,1.555201744,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Peter Anderson Sessions,us,1996,2018,1.297800604,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
David A. Novstrup,sd,2014,2016,1.355119319,R,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,,,,,
John Smith,wa,2013,2014,1.457876873,R,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,
Jerry Taylor,ar,2004,2012,,D,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
Stanley Walker Bingham,nc,2000,2016,0.250189598,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,
Ray L. Shaw,mt,2012,2018,0.239618094,R,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,
Cindi R. Duchow,wi,2016,2018,0.750645337,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Randall Otis Nix,ga,2006,2018,0.450026759,R,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Carl N. Crane,la,1982,2007,1.439862796,R,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,,,,,
Alon Wieland,nd,2002,2014,,R,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,,,,,
Joseph D. McKenna,ma,2014,2018,1.490050206,R,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
Mark Hart,ky,2016,2018,,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Regina Petrey Bunch,ky,2011,2018,,R,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,,,,,
Gary P. Byron,ct,2014,2018,0.899220259,R,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
Jerry W. Tillman,nc,2002,2018,0.401784158,R,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Joe M. Stell,nm,1986,2006,,D,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
Jerry R. Brown,ar,2006,2012,,D,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
Don Cheatham,id,2014,2018,-1.059457975,R,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
Jim Gulley,nc,1996,2010,,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
James Michael Hughes,oh,2016,2018,0.388493115,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Bob W. Johnson,ar,2000,2010,,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Paul A. Schmid III,ma,2010,2018,-0.581490539,D,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
John Ronald Unger II,wv,1998,2018,-0.334067607,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Ricardo Rangel,fl,2012,2014,-1.379649622,D,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,
Paula E. Bradley,nh,2014,2016,-0.959360044,D,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,,,,,
Dewayne Pemberton,ok,2016,2020,0.157679417,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Richard E. Meaney,nh,2012,2014,1.738433121,R,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,
Paul A. Stearns,me,2014,2018,0.793023381,R,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
Brad Ashford,us,2014,2016,-0.339114758,D,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,,,,,
Kendall A. Snow,nh,2014,2018,-1.216239284,D,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
James F. Battin Jr.,ca,2000,2008,,R,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,,
Jason Michael Nemes,ky,2016,2018,,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Phillip D. Hinkle,in,2000,2012,,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
Adam Bennett Schiff,us,2000,2018,-1.213058713,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Tom F. Trail,id,1996,2012,0.956624026,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
Constance N. Quimby,vt,2012,2018,1.94902649,R,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,
Fred H. Brown,tx,1998,2012,0.401329887,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
Nick Wagner,ia,2008,2012,0.82176267,R,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,,,,,
Bill Sample,ar,2010,2018,-0.110609236,R,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
Don Ray Thomas,ga,1996,2010,0.774769656,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Bob Loonan,mn,2014,2018,0.649567053,R,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
Ronald J. Nowe,nh,2004,2008,,R,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,,
Carol Schwartz,dc,1996,2008,-0.292093307,R,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,,
Larry Sheets,ia,2012,2018,,R,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,
James C. Simpson Jr.,ms,1995,2007,,R,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,,,,,
John T. Galloway,pa,2006,2018,-0.72434189,D,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Ronald E. Stoker,mt,2002,2010,0.735430684,R,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Christine C. Hamm,nh,2002,2012,-1.1488069,D,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
William M. Beasley,al,2010,2018,-0.93787388,D,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
Lydia Graves Chassaniol,ms,2006,2019,0.197119326,R,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Frank A. Ciccone III,ri,2002,2018,-0.143111853,D,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Carl Von Epps,ga,1992,2014,-0.817725102,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,,,,,
Lester E. Carpenter,ms,2007,2019,0.645761183,R,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Joseph L. Schiavoni,oh,2009,2018,-0.93689526,D,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Dennis R. Bailey,ok,2008,2010,-1.095934,D,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,,,,,
Thomas M. McKee,ky,1996,2016,,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,
David L. Nixon,nh,2008,2010,,D,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,,,,,
Howard C. Dickinson,nh,1974,2006,,R,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
Christopher Bateman,nj,2007,2017,0.859507712,R,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Brian Weber,ks,2011,2012,0.31284544,R,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,,,,,
Charles E. Kleckley,la,2005,2015,1.058328979,R,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,,,,
Victor Mitchell,co,2006,2008,,R,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,,,,,
Ben Cannon,or,2006,2011,-1.315159162,D,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,,,,,
Oren L. Lesmeister,sd,2016,2018,-0.617443711,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Lynn C. Slaby,oh,2010,2012,,R,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,,,,,
Russell A. Morin,ct,2006,2018,-0.957455595,D,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Michael Richard Pompeo,us,2010,2018,1.522214449,R,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
John Shelton Wilder,tn,1971,2008,-2.560190139,D,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,,
Gary C. Alexander,wa,1996,2014,1.051314409,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,,,,,
Anne Theresa O'Brien,vt,2008,2016,-0.31715088,D,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,
Phillip Wayne Stephenson,tx,2012,2018,0.437888855,R,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,
Robert Benjamin Clark III,nc,2012,2018,-0.434524847,D,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,
Waylon Brown,ia,2016,2020,0.710068126,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Jeffrey R. Wardlaw,ar,2010,2018,1.178671582,R,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
Timothy R. Goodwin,sd,2016,2018,-1.611441008,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,
Lesley Vance,al,1994,2014,-0.077589223,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,,,,,
Elwyn Thomas,al,1998,2012,0.232200593,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,,
Steven W. Lindsey,nh,2008,2012,-0.428568191,D,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,,,,,
Dan Gibbs,co,2007,2010,,D,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Robert L. Freeman,pa,1998,2018,-1.105969346,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Alex Diaz de la Portilla,fl,2000,2010,-0.019411807,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Tyler J. Harper,ga,2012,2018,0.608587728,R,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,
Harri Anne Smith,al,1998,2018,0.820244901,I,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Clarence E. Phillips,mi,2000,2006,-0.918857105,D,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
J. Lisbeth Olimpio,nh,2002,2006,,R,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
Daniel D. Hall,mn,2010,2020,,R,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
Scott Hummel,mi,2001,2006,0.89118832,R,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
Larry R. Powell,ks,2012,2016,0.470350517,R,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,,,,,
Richard B. Womick,tn,2010,2016,0.395506441,R,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,,
Bruce Whitehead,co,2009,2010,,D,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,,,,
Tammy L. Irons,al,2010,2014,-1.06581044,D,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,,,,,
Kathleen C. Keenan,vt,1989,2018,-0.42226434,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Thomas P. Terenzini,vt,2012,2018,1.777630552,NP,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,,
James Earl White,tx,2010,2018,0.884616258,R,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
Gary A. Newell,mi,2000,2006,0.533921514,R,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
John LaBruzzo,la,2003,2011,1.154811495,R,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,,,,,
Scott E. Thomas,nc,2000,2006,,D,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,
Frank R. Emiro,nh,2006,2010,,R,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,,
Thomas K. Taylor,ga,2010,2018,0.091056739,R,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,
Fred W. Romkema,sd,2008,2016,0.774684733,R,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,
Wayne P. DeAngelo,nj,2007,2017,-0.719221826,D,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Thomas J. Kirwan,ny,2010,2012,1.254364843,R,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,,,,,
Timothy R. Bowles,ct,2012,2014,-0.54235052,D,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,
Stephanie Hansen,de,2017,2018,-0.27980025,D,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,
